"subject","item","ar","binding","group","binding_g","group_g"
"Native 1",1,"1",-1,-1,"Binding","Native"
"Native 2",1,"1",-1,-1,"Binding","Native"
"Native 3",1,"1",-1,-1,"Binding","Native"
"Native 4",1,"1",-1,-1,"Binding","Native"
"Native 5",1,"1",-1,-1,"Binding","Native"
"Native 6",1,"1",-1,-1,"Binding","Native"
"Native 7",1,"1",-1,-1,"Binding","Native"
"Native 8",1,"1",-1,-1,"Binding","Native"
"Native 9",1,"1",-1,-1,"Binding","Native"
"Native 10",1,"1",-1,-1,"Binding","Native"
"Native 11",1,"1",-1,-1,"Binding","Native"
"Native 12",1,"1",-1,-1,"Binding","Native"
"Native 13",1,"1",-1,-1,"Binding","Native"
"Native 14",1,"1",-1,-1,"Binding","Native"
"Native 15",1,"1",-1,-1,"Binding","Native"
"Native 16",1,"1",-1,-1,"Binding","Native"
"Native 17",1,"1",-1,-1,"Binding","Native"
"Native 18",1,"1",-1,-1,"Binding","Native"
"Native 37",1,"1",-1,-1,"Binding","Native"
"Native 38",1,"0",-1,-1,"Binding","Native"
"Native 39",1,"1",-1,-1,"Binding","Native"
"Native 40",1,"1",-1,-1,"Binding","Native"
"Native 41",1,"1",-1,-1,"Binding","Native"
"Native 42",1,"1",-1,-1,"Binding","Native"
"Native 43",1,"1",-1,-1,"Binding","Native"
"Native 44",1,"1",-1,-1,"Binding","Native"
"Native 45",1,"1",-1,-1,"Binding","Native"
"Native 46",1,"1",-1,-1,"Binding","Native"
"Native 47",1,"0",-1,-1,"Binding","Native"
"Native 48",1,"1",-1,-1,"Binding","Native"
"Native 49",1,"1",-1,-1,"Binding","Native"
"Native 50",1,"0",-1,-1,"Binding","Native"
"Native 51",1,"1",-1,-1,"Binding","Native"
"Native 52",1,"1",-1,-1,"Binding","Native"
"Native 53",1,"1",-1,-1,"Binding","Native"
"Native 54",1,"1",-1,-1,"Binding","Native"
"Native 19",1,"1",1,-1,"Non-Binding","Native"
"Native 20",1,"1",1,-1,"Non-Binding","Native"
"Native 21",1,"1",1,-1,"Non-Binding","Native"
"Native 22",1,"1",1,-1,"Non-Binding","Native"
"Native 23",1,"1",1,-1,"Non-Binding","Native"
"Native 24",1,"1",1,-1,"Non-Binding","Native"
"Native 25",1,"1",1,-1,"Non-Binding","Native"
"Native 26",1,"1",1,-1,"Non-Binding","Native"
"Native 27",1,"1",1,-1,"Non-Binding","Native"
"Native 28",1,"1",1,-1,"Non-Binding","Native"
"Native 29",1,"1",1,-1,"Non-Binding","Native"
"Native 30",1,"1",1,-1,"Non-Binding","Native"
"Native 31",1,"1",1,-1,"Non-Binding","Native"
"Native 32",1,"1",1,-1,"Non-Binding","Native"
"Native 33",1,"1",1,-1,"Non-Binding","Native"
"Native 34",1,"1",1,-1,"Non-Binding","Native"
"Native 35",1,"1",1,-1,"Non-Binding","Native"
"Native 36",1,"1",1,-1,"Non-Binding","Native"
"Native 55",1,"1",1,-1,"Non-Binding","Native"
"Native 56",1,"1",1,-1,"Non-Binding","Native"
"Native 57",1,"1",1,-1,"Non-Binding","Native"
"Native 58",1,"1",1,-1,"Non-Binding","Native"
"Native 59",1,"1",1,-1,"Non-Binding","Native"
"Native 60",1,"1",1,-1,"Non-Binding","Native"
"Native 61",1,"1",1,-1,"Non-Binding","Native"
"Native 62",1,"1",1,-1,"Non-Binding","Native"
"Native 63",1,"1",1,-1,"Non-Binding","Native"
"Native 64",1,"1",1,-1,"Non-Binding","Native"
"Native 65",1,"1",1,-1,"Non-Binding","Native"
"Native 66",1,"0",1,-1,"Non-Binding","Native"
"Native 67",1,"1",1,-1,"Non-Binding","Native"
"Native 68",1,"1",1,-1,"Non-Binding","Native"
"Native 69",1,"1",1,-1,"Non-Binding","Native"
"Native 70",1,"1",1,-1,"Non-Binding","Native"
"Native 71",1,"1",1,-1,"Non-Binding","Native"
"Native 72",1,"1",1,-1,"Non-Binding","Native"
"Native 19",2,"1",-1,-1,"Binding","Native"
"Native 20",2,"1",-1,-1,"Binding","Native"
"Native 21",2,"0",-1,-1,"Binding","Native"
"Native 22",2,"1",-1,-1,"Binding","Native"
"Native 23",2,"1",-1,-1,"Binding","Native"
"Native 24",2,"1",-1,-1,"Binding","Native"
"Native 25",2,"1",-1,-1,"Binding","Native"
"Native 26",2,"1",-1,-1,"Binding","Native"
"Native 27",2,"1",-1,-1,"Binding","Native"
"Native 28",2,"0",-1,-1,"Binding","Native"
"Native 29",2,"1",-1,-1,"Binding","Native"
"Native 30",2,"1",-1,-1,"Binding","Native"
"Native 31",2,"1",-1,-1,"Binding","Native"
"Native 32",2,"1",-1,-1,"Binding","Native"
"Native 33",2,"1",-1,-1,"Binding","Native"
"Native 34",2,"1",-1,-1,"Binding","Native"
"Native 35",2,"1",-1,-1,"Binding","Native"
"Native 36",2,"1",-1,-1,"Binding","Native"
"Native 55",2,"1",-1,-1,"Binding","Native"
"Native 56",2,"1",-1,-1,"Binding","Native"
"Native 57",2,"1",-1,-1,"Binding","Native"
"Native 58",2,"1",-1,-1,"Binding","Native"
"Native 59",2,"1",-1,-1,"Binding","Native"
"Native 60",2,"1",-1,-1,"Binding","Native"
"Native 61",2,"1",-1,-1,"Binding","Native"
"Native 62",2,"1",-1,-1,"Binding","Native"
"Native 63",2,"1",-1,-1,"Binding","Native"
"Native 64",2,"1",-1,-1,"Binding","Native"
"Native 65",2,"1",-1,-1,"Binding","Native"
"Native 66",2,"1",-1,-1,"Binding","Native"
"Native 67",2,"1",-1,-1,"Binding","Native"
"Native 68",2,"1",-1,-1,"Binding","Native"
"Native 69",2,"1",-1,-1,"Binding","Native"
"Native 70",2,"1",-1,-1,"Binding","Native"
"Native 71",2,"1",-1,-1,"Binding","Native"
"Native 72",2,"1",-1,-1,"Binding","Native"
"Native 1",2,"0",1,-1,"Non-Binding","Native"
"Native 2",2,"1",1,-1,"Non-Binding","Native"
"Native 3",2,"1",1,-1,"Non-Binding","Native"
"Native 4",2,"1",1,-1,"Non-Binding","Native"
"Native 5",2,"1",1,-1,"Non-Binding","Native"
"Native 6",2,"1",1,-1,"Non-Binding","Native"
"Native 7",2,"1",1,-1,"Non-Binding","Native"
"Native 8",2,"1",1,-1,"Non-Binding","Native"
"Native 9",2,"1",1,-1,"Non-Binding","Native"
"Native 10",2,"1",1,-1,"Non-Binding","Native"
"Native 11",2,"1",1,-1,"Non-Binding","Native"
"Native 12",2,"1",1,-1,"Non-Binding","Native"
"Native 13",2,"0",1,-1,"Non-Binding","Native"
"Native 14",2,"1",1,-1,"Non-Binding","Native"
"Native 15",2,"1",1,-1,"Non-Binding","Native"
"Native 16",2,"1",1,-1,"Non-Binding","Native"
"Native 17",2,"1",1,-1,"Non-Binding","Native"
"Native 18",2,"1",1,-1,"Non-Binding","Native"
"Native 37",2,"1",1,-1,"Non-Binding","Native"
"Native 38",2,"1",1,-1,"Non-Binding","Native"
"Native 39",2,"1",1,-1,"Non-Binding","Native"
"Native 40",2,"0",1,-1,"Non-Binding","Native"
"Native 41",2,"1",1,-1,"Non-Binding","Native"
"Native 42",2,"1",1,-1,"Non-Binding","Native"
"Native 43",2,"1",1,-1,"Non-Binding","Native"
"Native 44",2,"1",1,-1,"Non-Binding","Native"
"Native 45",2,"1",1,-1,"Non-Binding","Native"
"Native 46",2,"1",1,-1,"Non-Binding","Native"
"Native 47",2,"1",1,-1,"Non-Binding","Native"
"Native 48",2,"1",1,-1,"Non-Binding","Native"
"Native 49",2,"1",1,-1,"Non-Binding","Native"
"Native 50",2,"1",1,-1,"Non-Binding","Native"
"Native 51",2,"1",1,-1,"Non-Binding","Native"
"Native 52",2,"1",1,-1,"Non-Binding","Native"
"Native 53",2,"1",1,-1,"Non-Binding","Native"
"Native 54",2,"1",1,-1,"Non-Binding","Native"
"Native 1",3,"0",-1,-1,"Binding","Native"
"Native 2",3,"1",-1,-1,"Binding","Native"
"Native 3",3,"1",-1,-1,"Binding","Native"
"Native 4",3,"1",-1,-1,"Binding","Native"
"Native 5",3,"1",-1,-1,"Binding","Native"
"Native 6",3,"0",-1,-1,"Binding","Native"
"Native 7",3,"1",-1,-1,"Binding","Native"
"Native 8",3,"1",-1,-1,"Binding","Native"
"Native 9",3,"1",-1,-1,"Binding","Native"
"Native 10",3,"1",-1,-1,"Binding","Native"
"Native 11",3,"1",-1,-1,"Binding","Native"
"Native 12",3,"1",-1,-1,"Binding","Native"
"Native 13",3,"1",-1,-1,"Binding","Native"
"Native 14",3,"1",-1,-1,"Binding","Native"
"Native 15",3,"1",-1,-1,"Binding","Native"
"Native 16",3,"1",-1,-1,"Binding","Native"
"Native 17",3,"1",-1,-1,"Binding","Native"
"Native 18",3,"1",-1,-1,"Binding","Native"
"Native 37",3,"0",-1,-1,"Binding","Native"
"Native 38",3,"1",-1,-1,"Binding","Native"
"Native 39",3,"1",-1,-1,"Binding","Native"
"Native 40",3,"1",-1,-1,"Binding","Native"
"Native 41",3,"1",-1,-1,"Binding","Native"
"Native 42",3,"1",-1,-1,"Binding","Native"
"Native 43",3,"1",-1,-1,"Binding","Native"
"Native 44",3,"1",-1,-1,"Binding","Native"
"Native 45",3,"1",-1,-1,"Binding","Native"
"Native 46",3,"1",-1,-1,"Binding","Native"
"Native 47",3,"1",-1,-1,"Binding","Native"
"Native 48",3,"1",-1,-1,"Binding","Native"
"Native 49",3,"1",-1,-1,"Binding","Native"
"Native 50",3,"1",-1,-1,"Binding","Native"
"Native 51",3,"1",-1,-1,"Binding","Native"
"Native 52",3,"1",-1,-1,"Binding","Native"
"Native 53",3,"1",-1,-1,"Binding","Native"
"Native 54",3,"1",-1,-1,"Binding","Native"
"Native 19",3,"1",1,-1,"Non-Binding","Native"
"Native 20",3,"1",1,-1,"Non-Binding","Native"
"Native 21",3,"0",1,-1,"Non-Binding","Native"
"Native 22",3,"1",1,-1,"Non-Binding","Native"
"Native 23",3,"1",1,-1,"Non-Binding","Native"
"Native 24",3,"1",1,-1,"Non-Binding","Native"
"Native 25",3,"1",1,-1,"Non-Binding","Native"
"Native 26",3,"1",1,-1,"Non-Binding","Native"
"Native 27",3,"1",1,-1,"Non-Binding","Native"
"Native 28",3,"1",1,-1,"Non-Binding","Native"
"Native 29",3,"1",1,-1,"Non-Binding","Native"
"Native 30",3,"0",1,-1,"Non-Binding","Native"
"Native 31",3,"1",1,-1,"Non-Binding","Native"
"Native 32",3,"1",1,-1,"Non-Binding","Native"
"Native 33",3,"1",1,-1,"Non-Binding","Native"
"Native 34",3,"1",1,-1,"Non-Binding","Native"
"Native 35",3,"1",1,-1,"Non-Binding","Native"
"Native 36",3,"1",1,-1,"Non-Binding","Native"
"Native 55",3,"1",1,-1,"Non-Binding","Native"
"Native 56",3,"1",1,-1,"Non-Binding","Native"
"Native 57",3,"1",1,-1,"Non-Binding","Native"
"Native 58",3,"1",1,-1,"Non-Binding","Native"
"Native 59",3,"1",1,-1,"Non-Binding","Native"
"Native 60",3,"1",1,-1,"Non-Binding","Native"
"Native 61",3,"1",1,-1,"Non-Binding","Native"
"Native 62",3,"0",1,-1,"Non-Binding","Native"
"Native 63",3,"1",1,-1,"Non-Binding","Native"
"Native 64",3,"1",1,-1,"Non-Binding","Native"
"Native 65",3,"1",1,-1,"Non-Binding","Native"
"Native 66",3,"1",1,-1,"Non-Binding","Native"
"Native 67",3,"1",1,-1,"Non-Binding","Native"
"Native 68",3,"1",1,-1,"Non-Binding","Native"
"Native 69",3,"1",1,-1,"Non-Binding","Native"
"Native 70",3,"1",1,-1,"Non-Binding","Native"
"Native 71",3,"1",1,-1,"Non-Binding","Native"
"Native 72",3,"0",1,-1,"Non-Binding","Native"
"Native 19",4,"1",-1,-1,"Binding","Native"
"Native 20",4,"1",-1,-1,"Binding","Native"
"Native 21",4,"1",-1,-1,"Binding","Native"
"Native 22",4,"1",-1,-1,"Binding","Native"
"Native 23",4,"1",-1,-1,"Binding","Native"
"Native 24",4,"1",-1,-1,"Binding","Native"
"Native 25",4,"1",-1,-1,"Binding","Native"
"Native 26",4,"1",-1,-1,"Binding","Native"
"Native 27",4,"1",-1,-1,"Binding","Native"
"Native 28",4,"1",-1,-1,"Binding","Native"
"Native 29",4,"1",-1,-1,"Binding","Native"
"Native 30",4,"1",-1,-1,"Binding","Native"
"Native 31",4,"1",-1,-1,"Binding","Native"
"Native 32",4,"1",-1,-1,"Binding","Native"
"Native 33",4,"1",-1,-1,"Binding","Native"
"Native 34",4,"1",-1,-1,"Binding","Native"
"Native 35",4,"1",-1,-1,"Binding","Native"
"Native 36",4,"0",-1,-1,"Binding","Native"
"Native 55",4,"1",-1,-1,"Binding","Native"
"Native 56",4,"1",-1,-1,"Binding","Native"
"Native 57",4,"1",-1,-1,"Binding","Native"
"Native 58",4,"1",-1,-1,"Binding","Native"
"Native 59",4,"1",-1,-1,"Binding","Native"
"Native 60",4,"1",-1,-1,"Binding","Native"
"Native 61",4,"1",-1,-1,"Binding","Native"
"Native 62",4,"1",-1,-1,"Binding","Native"
"Native 63",4,"1",-1,-1,"Binding","Native"
"Native 64",4,"1",-1,-1,"Binding","Native"
"Native 65",4,"1",-1,-1,"Binding","Native"
"Native 66",4,"1",-1,-1,"Binding","Native"
"Native 67",4,"1",-1,-1,"Binding","Native"
"Native 68",4,"1",-1,-1,"Binding","Native"
"Native 69",4,"1",-1,-1,"Binding","Native"
"Native 70",4,"1",-1,-1,"Binding","Native"
"Native 71",4,"1",-1,-1,"Binding","Native"
"Native 72",4,"0",-1,-1,"Binding","Native"
"Native 1",4,"1",1,-1,"Non-Binding","Native"
"Native 2",4,"1",1,-1,"Non-Binding","Native"
"Native 3",4,"1",1,-1,"Non-Binding","Native"
"Native 4",4,"1",1,-1,"Non-Binding","Native"
"Native 5",4,"1",1,-1,"Non-Binding","Native"
"Native 6",4,"1",1,-1,"Non-Binding","Native"
"Native 7",4,"1",1,-1,"Non-Binding","Native"
"Native 8",4,"1",1,-1,"Non-Binding","Native"
"Native 9",4,"1",1,-1,"Non-Binding","Native"
"Native 10",4,"1",1,-1,"Non-Binding","Native"
"Native 11",4,"1",1,-1,"Non-Binding","Native"
"Native 12",4,"1",1,-1,"Non-Binding","Native"
"Native 13",4,"1",1,-1,"Non-Binding","Native"
"Native 14",4,"1",1,-1,"Non-Binding","Native"
"Native 15",4,"1",1,-1,"Non-Binding","Native"
"Native 16",4,"1",1,-1,"Non-Binding","Native"
"Native 17",4,"1",1,-1,"Non-Binding","Native"
"Native 18",4,"1",1,-1,"Non-Binding","Native"
"Native 37",4,"1",1,-1,"Non-Binding","Native"
"Native 38",4,"1",1,-1,"Non-Binding","Native"
"Native 39",4,"1",1,-1,"Non-Binding","Native"
"Native 40",4,"1",1,-1,"Non-Binding","Native"
"Native 41",4,"1",1,-1,"Non-Binding","Native"
"Native 42",4,"1",1,-1,"Non-Binding","Native"
"Native 43",4,"1",1,-1,"Non-Binding","Native"
"Native 44",4,"1",1,-1,"Non-Binding","Native"
"Native 45",4,"1",1,-1,"Non-Binding","Native"
"Native 46",4,"1",1,-1,"Non-Binding","Native"
"Native 47",4,"1",1,-1,"Non-Binding","Native"
"Native 48",4,"1",1,-1,"Non-Binding","Native"
"Native 49",4,"1",1,-1,"Non-Binding","Native"
"Native 50",4,"1",1,-1,"Non-Binding","Native"
"Native 51",4,"1",1,-1,"Non-Binding","Native"
"Native 52",4,"1",1,-1,"Non-Binding","Native"
"Native 53",4,"1",1,-1,"Non-Binding","Native"
"Native 54",4,"0",1,-1,"Non-Binding","Native"
"Native 1",5,"1",-1,-1,"Binding","Native"
"Native 2",5,"1",-1,-1,"Binding","Native"
"Native 3",5,"1",-1,-1,"Binding","Native"
"Native 4",5,"1",-1,-1,"Binding","Native"
"Native 5",5,"1",-1,-1,"Binding","Native"
"Native 6",5,"1",-1,-1,"Binding","Native"
"Native 7",5,"1",-1,-1,"Binding","Native"
"Native 8",5,"0",-1,-1,"Binding","Native"
"Native 9",5,"1",-1,-1,"Binding","Native"
"Native 10",5,"1",-1,-1,"Binding","Native"
"Native 11",5,"1",-1,-1,"Binding","Native"
"Native 12",5,"1",-1,-1,"Binding","Native"
"Native 13",5,"0",-1,-1,"Binding","Native"
"Native 14",5,"1",-1,-1,"Binding","Native"
"Native 15",5,"1",-1,-1,"Binding","Native"
"Native 16",5,"1",-1,-1,"Binding","Native"
"Native 17",5,"1",-1,-1,"Binding","Native"
"Native 18",5,"1",-1,-1,"Binding","Native"
"Native 37",5,"1",-1,-1,"Binding","Native"
"Native 38",5,"1",-1,-1,"Binding","Native"
"Native 39",5,"1",-1,-1,"Binding","Native"
"Native 40",5,"1",-1,-1,"Binding","Native"
"Native 41",5,"1",-1,-1,"Binding","Native"
"Native 42",5,"1",-1,-1,"Binding","Native"
"Native 43",5,"1",-1,-1,"Binding","Native"
"Native 44",5,"1",-1,-1,"Binding","Native"
"Native 45",5,"1",-1,-1,"Binding","Native"
"Native 46",5,"1",-1,-1,"Binding","Native"
"Native 47",5,"1",-1,-1,"Binding","Native"
"Native 48",5,"1",-1,-1,"Binding","Native"
"Native 49",5,"1",-1,-1,"Binding","Native"
"Native 50",5,"0",-1,-1,"Binding","Native"
"Native 51",5,"1",-1,-1,"Binding","Native"
"Native 52",5,"1",-1,-1,"Binding","Native"
"Native 53",5,"1",-1,-1,"Binding","Native"
"Native 54",5,"1",-1,-1,"Binding","Native"
"Native 19",5,"1",1,-1,"Non-Binding","Native"
"Native 20",5,"1",1,-1,"Non-Binding","Native"
"Native 21",5,"1",1,-1,"Non-Binding","Native"
"Native 22",5,"1",1,-1,"Non-Binding","Native"
"Native 23",5,"1",1,-1,"Non-Binding","Native"
"Native 24",5,"1",1,-1,"Non-Binding","Native"
"Native 25",5,"1",1,-1,"Non-Binding","Native"
"Native 26",5,"1",1,-1,"Non-Binding","Native"
"Native 27",5,"1",1,-1,"Non-Binding","Native"
"Native 28",5,"1",1,-1,"Non-Binding","Native"
"Native 29",5,"1",1,-1,"Non-Binding","Native"
"Native 30",5,"1",1,-1,"Non-Binding","Native"
"Native 31",5,"1",1,-1,"Non-Binding","Native"
"Native 32",5,"1",1,-1,"Non-Binding","Native"
"Native 33",5,"0",1,-1,"Non-Binding","Native"
"Native 34",5,"1",1,-1,"Non-Binding","Native"
"Native 35",5,"1",1,-1,"Non-Binding","Native"
"Native 36",5,"1",1,-1,"Non-Binding","Native"
"Native 55",5,"1",1,-1,"Non-Binding","Native"
"Native 56",5,"1",1,-1,"Non-Binding","Native"
"Native 57",5,"1",1,-1,"Non-Binding","Native"
"Native 58",5,"1",1,-1,"Non-Binding","Native"
"Native 59",5,"1",1,-1,"Non-Binding","Native"
"Native 60",5,"1",1,-1,"Non-Binding","Native"
"Native 61",5,"1",1,-1,"Non-Binding","Native"
"Native 62",5,"1",1,-1,"Non-Binding","Native"
"Native 63",5,"1",1,-1,"Non-Binding","Native"
"Native 64",5,"1",1,-1,"Non-Binding","Native"
"Native 65",5,"1",1,-1,"Non-Binding","Native"
"Native 66",5,"1",1,-1,"Non-Binding","Native"
"Native 67",5,"1",1,-1,"Non-Binding","Native"
"Native 68",5,"1",1,-1,"Non-Binding","Native"
"Native 69",5,"1",1,-1,"Non-Binding","Native"
"Native 70",5,"1",1,-1,"Non-Binding","Native"
"Native 71",5,"1",1,-1,"Non-Binding","Native"
"Native 72",5,"1",1,-1,"Non-Binding","Native"
"Native 19",6,"1",-1,-1,"Binding","Native"
"Native 20",6,"1",-1,-1,"Binding","Native"
"Native 21",6,"1",-1,-1,"Binding","Native"
"Native 22",6,"1",-1,-1,"Binding","Native"
"Native 23",6,"1",-1,-1,"Binding","Native"
"Native 24",6,"1",-1,-1,"Binding","Native"
"Native 25",6,"1",-1,-1,"Binding","Native"
"Native 26",6,"1",-1,-1,"Binding","Native"
"Native 27",6,"1",-1,-1,"Binding","Native"
"Native 28",6,"0",-1,-1,"Binding","Native"
"Native 29",6,"1",-1,-1,"Binding","Native"
"Native 30",6,"1",-1,-1,"Binding","Native"
"Native 31",6,"1",-1,-1,"Binding","Native"
"Native 32",6,"0",-1,-1,"Binding","Native"
"Native 33",6,"1",-1,-1,"Binding","Native"
"Native 34",6,"1",-1,-1,"Binding","Native"
"Native 35",6,"1",-1,-1,"Binding","Native"
"Native 36",6,"1",-1,-1,"Binding","Native"
"Native 55",6,"1",-1,-1,"Binding","Native"
"Native 56",6,"1",-1,-1,"Binding","Native"
"Native 57",6,"1",-1,-1,"Binding","Native"
"Native 58",6,"1",-1,-1,"Binding","Native"
"Native 59",6,"1",-1,-1,"Binding","Native"
"Native 60",6,"0",-1,-1,"Binding","Native"
"Native 61",6,"0",-1,-1,"Binding","Native"
"Native 62",6,"1",-1,-1,"Binding","Native"
"Native 63",6,"1",-1,-1,"Binding","Native"
"Native 64",6,"1",-1,-1,"Binding","Native"
"Native 65",6,"1",-1,-1,"Binding","Native"
"Native 66",6,"1",-1,-1,"Binding","Native"
"Native 67",6,"1",-1,-1,"Binding","Native"
"Native 68",6,"1",-1,-1,"Binding","Native"
"Native 69",6,"1",-1,-1,"Binding","Native"
"Native 70",6,"1",-1,-1,"Binding","Native"
"Native 71",6,"0",-1,-1,"Binding","Native"
"Native 72",6,"1",-1,-1,"Binding","Native"
"Native 1",6,"1",1,-1,"Non-Binding","Native"
"Native 2",6,"1",1,-1,"Non-Binding","Native"
"Native 3",6,"1",1,-1,"Non-Binding","Native"
"Native 4",6,"1",1,-1,"Non-Binding","Native"
"Native 5",6,"1",1,-1,"Non-Binding","Native"
"Native 6",6,"1",1,-1,"Non-Binding","Native"
"Native 7",6,"0",1,-1,"Non-Binding","Native"
"Native 8",6,"1",1,-1,"Non-Binding","Native"
"Native 9",6,"1",1,-1,"Non-Binding","Native"
"Native 10",6,"1",1,-1,"Non-Binding","Native"
"Native 11",6,"1",1,-1,"Non-Binding","Native"
"Native 12",6,"1",1,-1,"Non-Binding","Native"
"Native 13",6,"1",1,-1,"Non-Binding","Native"
"Native 14",6,"1",1,-1,"Non-Binding","Native"
"Native 15",6,"0",1,-1,"Non-Binding","Native"
"Native 16",6,"1",1,-1,"Non-Binding","Native"
